# Collection of Eggs for Easter 2025
# Field order: Chocolatier, volume, weight, chocolate, wrapper, filling
Lindt,3101.383,3101,2,2,2
Darrell Lea,3460.674,3461,0,2,2
Mars,221.859,444,1,1,1
Mars,828.693,1657,0,1,1
Lindt,3540.306,3540,1,0,2
Cadbury,237.658,475,2,1,1
Lindt,3079.894,3080,1,1,2
Lindt,3565.182,7130,2,1,1
Cadbury,312.993,939,2,1,0
Pink Lady,3058.62,9176,2,2,0
Mars,668.551,1337,1,2,1
Mars,3274.269,6549,1,0,1
Pink Lady,508.742,509,0,0,2
Mars,1297.628,2595,0,1,1
Cadbury,1601.285,4804,1,0,0
Pink Lady,2842.174,8527,1,1,0
Darrell Lea,843.77,1688,1,0,1
Cadbury,2080.915,2081,2,2,2
Cadbury,3730.735,11192,1,1,0
Carob Creations,3229.15,9687,1,0,0
Kinder,1112.044,2224,2,2,1
Ferrero,1768.062,3536,0,0,1
Kinder,3690.547,11072,0,2,0
Ferrero,1894.147,5682,1,1,0
Ferrero,2825.761,8477,1,0,0
Lindt,2484.322,4969,2,0,1
Darrell Lea,2672.652,5345,1,1,1
Carob Creations,1813.665,5441,0,0,0
Cadbury,3373.157,10119,2,2,0
Pink Lady,1170.69,3512,1,2,0
Pink Lady,63.095,63,1,1,2
Darrell Lea,3644.526,7289,0,2,1
Mars,2682.07,2682,2,0,2
Carob Creations,1367.619,1368,1,2,2
Pink Lady,3621.699,10865,0,2,0
Kinder,3323.412,3323,1,1,2
Darrell Lea,1528.096,1528,2,1,2
Mars,897.861,898,0,2,2
Carob Creations,3871.713,7743,2,2,1
Ferrero,2838.355,5677,0,0,1
Pink Lady,1780.223,5341,2,2,0
Pink Lady,280.471,841,2,1,0
Ferrero,486.077,486,1,0,2
Darrell Lea,176.586,177,0,1,2
Carob Creations,1824.541,1825,2,1,2
Ferrero,4176.792,4177,1,1,2
Mars,1639.66,1640,2,1,2
Cadbury,1403.379,4210,1,0,0
Darrell Lea,2120.315,6361,0,0,0
Kinder,1827.512,5483,1,2,0
Ferrero,321.331,321,2,1,2
Darrell Lea,3682.573,11048,0,0,0
Lindt,1064.994,1065,1,2,2
Cadbury,3258.999,9777,2,1,0
Darrell Lea,2704.108,2704,2,1,2
Mars,3153.981,6308,0,1,1
Carob Creations,1356.054,2712,0,0,1
Ferrero,1829.235,5488,1,2,0
Mars,623.873,624,0,0,2
Darrell Lea,2361.012,4722,0,1,1
Darrell Lea,2800.461,5601,1,2,1
Kinder,1025.526,2051,1,0,1
Mars,4152.422,8305,1,1,1
Darrell Lea,1528.928,3058,0,0,1
Lindt,2502.315,7507,2,1,0
Lindt,906.6,1813,2,1,1
Darrell Lea,2430.976,2431,1,0,2
Pink Lady,1235.16,1235,1,1,2
Mars,810.829,2432,1,2,0
Mars,4030.873,4031,0,1,2
Darrell Lea,3596.546,3597,0,0,2
Kinder,2578.757,5158,2,1,1
Carob Creations,114.581,229,1,2,1
Kinder,3286.845,9861,2,1,0
Carob Creations,330.298,991,0,0,0
Darrell Lea,2796.394,8389,1,0,0
Ferrero,3388.067,3388,1,1,2
Cadbury,919.138,2757,1,1,0
Pink Lady,1819.131,5457,2,1,0
Darrell Lea,2807.195,8422,2,2,0
Ferrero,1809.926,3620,2,1,1
Cadbury,819.991,1640,0,0,1
Lindt,3361.801,3362,1,0,2
Carob Creations,1928.811,1929,2,2,2
Kinder,3382.165,10146,1,1,0
Lindt,435.157,435,2,0,2
Darrell Lea,1503.448,3007,0,2,1
Pink Lady,1113.831,2228,1,2,1
Carob Creations,213.075,639,1,2,0
Ferrero,1910.112,5730,0,2,0
Ferrero,2877.988,2878,2,0,2
Mars,2693.003,5386,0,2,1
Carob Creations,1524.402,4573,2,2,0
Pink Lady,721.6,722,2,2,2
Kinder,3395.034,3395,1,2,2
Lindt,2578.405,7735,1,2,0
Ferrero,4053.103,12159,2,0,0
Carob Creations,3694.351,11083,0,1,0
Kinder,2398.359,7195,0,1,0
Ferrero,1499.836,1500,0,2,2
Lindt,1160.453,1160,0,2,2
Ferrero,505.225,1010,2,1,1
Mars,3505.116,3505,1,0,2
Mars,3557.232,10672,2,1,0
Ferrero,2507.192,7522,2,1,0
Kinder,886.061,886,2,1,2
Kinder,947.651,2843,2,1,0
Ferrero,3366.359,6733,0,1,1
Kinder,3838.944,7678,2,0,1
Lindt,2019.272,4039,1,0,1
Pink Lady,3454.131,10362,1,2,0
Mars,2100.672,2101,1,0,2
Carob Creations,3481.902,6964,2,1,1
Carob Creations,3011.043,6022,2,0,1
Lindt,3403.411,10210,1,0,0
Pink Lady,3991.25,11974,0,0,0
Mars,3197.16,9591,1,1,0
Darrell Lea,918.299,2755,0,2,0
Cadbury,1348.14,1348,1,0,2
Ferrero,1865.137,5595,0,2,0
Cadbury,1849.206,3698,1,1,1
Darrell Lea,2141.829,6425,2,2,0
Lindt,4016.884,12051,1,0,0
Carob Creations,3599.596,7199,2,1,1
Kinder,1773.339,1773,0,1,2
Carob Creations,392.819,1178,2,2,0
Darrell Lea,446.238,1339,1,2,0
Mars,851.911,852,2,2,2
Ferrero,3557.97,7116,0,0,1
Lindt,650.488,650,1,1,2
Mars,1689.222,5068,2,2,0
Carob Creations,2548.276,5097,2,1,1
Darrell Lea,2123.791,2124,0,0,2
Mars,2766.534,2767,2,1,2
Carob Creations,1150.491,3451,2,1,0
Mars,1051.886,3156,0,2,0
Carob Creations,3260.692,3261,1,0,2
Lindt,3878.911,7758,0,1,1
Cadbury,4167.874,4168,2,1,2
Darrell Lea,3718.46,11155,0,0,0
Darrell Lea,1577.269,4732,2,1,0
Lindt,1090.157,1090,2,2,2
Ferrero,2437.578,4875,0,1,1
Mars,1090.763,3272,1,1,0
Kinder,3739.377,11218,0,0,0
Kinder,2195.259,4391,0,0,1
Carob Creations,138.91,139,2,1,2
Carob Creations,273.847,548,0,0,1
Carob Creations,3542.001,10626,0,1,0
Pink Lady,441.383,1324,0,2,0
Kinder,3123.087,9369,1,2,0
Ferrero,1421.08,2842,1,0,1
Darrell Lea,430.995,862,2,2,1
